date,symbol,name,recommendation
04/17/25,DOCS,Doximity,BUY
04/03/25,APP,AppLovin,BUY
03/20/25,ASML,ASML,BUY
03/13/25,IRBT,iRobot,SELL
03/13/25,BDX,"Becton, Dickinson",SELL
03/13/25,RMD,ResMed,HOLD
03/06/25,GEHC,GE HealthCare Tec…,BUY
02/20/25,NVO,Novo Nordisk,BUY
02/06/25,BLD,TopBuild,BUY
01/16/25,HWM,Howmet Aerospace,BUY
01/02/25,KD,Kyndryl,BUY
12/23/24,CRTO,Criteo,SELL
12/23/24,ROP,Roper Technologies,SELL
12/23/24,MASI,Masimo,HOLD
12/23/24,CFLT,Confluent,SELL
12/23/24,LFUS,Littelfuse,SELL
12/23/24,KMI,Kinder Morgan,SELL
12/23/24,SEDG,SolarEdge Technolo…,SELL
12/23/24,VTRS,Viatris,SELL
12/23/24,NOW,ServiceNow,REDUCE
12/23/24,DBI,Designer Brands,SELL
12/23/24,AFL,Aflac,SELL
12/23/24,RHI,Robert Half,SELL
12/23/24,CVS,CVS Health,HOLD
12/23/24,BDX,"Becton, Dickinson",HOLD
12/23/24,TLK,Perusahaan Persero…,SELL
12/23/24,CLNE,Clean Energy Fuels,SELL
12/23/24,PATH,UiPath,SELL
12/23/24,UNH,UnitedHealth Group,SELL
12/23/24,SAFT,Safety Insurance Gr…,SELL
12/23/24,PINS,Pinterest,SELL
12/23/24,BCPC,Balchem,SELL
12/23/24,SLAB,Silicon Laboratories,SELL
12/19/24,PSTG,Pure Storage,BUY
12/05/24,TJX,TJX Companies,BUY
11/21/24,MELI,MercadoLibre,BUY
11/07/24,EME,EMCOR Group,BUY
10/17/24,CART,Instacart,BUY
10/03/24,DASH,DoorDash,BUY
09/19/24,WING,Wingstop,BUY
09/05/24,U,Unity So!ware,BUY
08/23/24,HA,Hawaiian,SELL
08/23/24,GRAL,Grail,SELL
08/15/24,LULU,Lululemon Athletica…,BUY
08/01/24,PGR,Progressive,BUY
07/18/24,GMED,Globus Medical,BUY
07/11/24,VLTO,Veralto,BUY
06/27/24,OII,Oceaneering Intern…,SELL
06/27/24,CLB,Core Laboratories,SELL
06/27/24,ASAN,Asana,HOLD
06/27/24,SKLZ,Skillz,SELL
06/27/24,CWBHF,Charlotte's Web,SELL
06/27/24,HA,Hawaiian,HOLD
06/20/24,ONON,On Holding,BUY
06/06/24,SHOP,Shopify,BUY
05/16/24,MCK,McKesson,BUY
05/02/24,CELH,Celsius,BUY
04/18/24,GRAB,Grab,BUY
04/04/24,V,Visa,BUY
03/28/24,MURA,Mural Oncology Plc,SELL
03/28/24,SAM,Boston Beer,HOLD
03/21/24,NICE,Nice,BUY
03/07/24,SHOP,Shopify,BUY
02/15/24,ELF,e.l.f. Beauty,BUY
02/01/24,PYPL,PayPal,BUY
01/18/24,AMD,Advanced Micro De…,BUY
01/04/24,NOW,ServiceNow,BUY
12/21/23,WBD,Warner Bros. Disco…,HOLD
12/21/23,MSFT,Microso!,BUY
12/07/23,EQT,EQT,BUY
11/16/23,RBLX,Roblox,BUY
11/02/23,DASH,DoorDash,BUY
10/31/23,PAC,Grupo Aeroportuari…,HOLD
10/19/23,CPNG,Coupang,BUY
10/05/23,CRWD,CrowdStrike,BUY
09/28/23,VTRS,Viatris,BUY
09/28/23,NEWR,New Relic,SELL
09/21/23,MELI,MercadoLibre,BUY
09/07/23,TEAM,Atlassian,BUY
08/17/23,DDOG,Datadog,BUY
08/03/23,SNOW,Snowflake,BUY
07/20/23,MNST,Monster Beverage,BUY
07/06/23,TFC,Truist Financial,BUY
06/29/23,CRI,Carter's,SELL
06/29/23,JBLU,JetBlue Airways,SELL
06/29/23,SFIX,Stitch Fix,BUY
06/15/23,ENPH,Enphase Energy,BUY
06/01/23,SHOP,Shopify,BUY
05/18/23,VRTX,Vertex Pharmaceuti…,BUY
05/04/23,TSLA,Tesla,BUY
04/27/23,NATI,National Instruments,SELL
04/20/23,VEEV,Veeva Systems,BUY
04/06/23,PAYC,Paycom So!ware,BUY
03/23/23,VTRS,Viatris,HOLD
03/16/23,RBLX,Roblox,BUY
03/13/23,WAL,Western Alliance Ba…,HOLD
03/02/23,CRWD,CrowdStrike,BUY
02/16/23,ACN,Accenture Plc,BUY
02/02/23,KNSL,Kinsale Capital Group,BUY
01/27/23,VTS,Vitesse Energy,HOLD
01/19/23,MASI,Masimo,BUY
01/05/23,NOW,ServiceNow,BUY
12/20/22,OII,Oceaneering Intern…,HOLD
12/20/22,IRBT,iRobot,HOLD
12/20/22,CWBHF,Charlotte's Web,HOLD
12/20/22,SFIX,Stitch Fix,HOLD
12/20/22,JEF,Jefferies Financial …,HOLD
12/20/22,BAMXF,Bayerische Motoren…,SELL
12/20/22,SKLZ,Skillz,HOLD
12/20/22,BB,BlackBerry,SELL
12/20/22,COUP,Coupa So!ware,SELL
12/20/22,CTSH,Cognizant Technolo…,HOLD
12/20/22,CLB,Core Laboratories,HOLD
12/15/22,DGX,Quest Diagnostics,BUY
12/01/22,TTD,The Trade Desk,BUY
11/23/22,MASI,Masimo,BUY
11/23/22,FTNT,Fortinet,BUY
11/17/22,AMZN,Amazon,BUY
11/03/22,NET,Cloudflare,BUY
10/20/22,RMD,ResMed,BUY
10/06/22,SNOW,Snowflake,BUY
09/15/22,CHWY,Chewy,BUY
09/07/22,JBLU,JetBlue Airways,HOLD
09/07/22,DOCU,Docusign,HOLD
09/07/22,PEGA,Pegasystems,HOLD
09/07/22,U,Unity So!ware,HOLD
09/07/22,TLK,Perusahaan Persero…,BUY
09/07/22,NEWR,New Relic,BUY
09/07/22,BUD,Anheuser-Busch In…,SELL
09/01/22,ABNB,Airbnb,BUY
08/18/22,TYL,Tyler Technologies,BUY
08/04/22,TTD,The Trade Desk,BUY
07/21/22,VEEV,Veeva Systems,BUY
07/07/22,ZM,Zoom Communicati…,BUY
06/16/22,DOCS,Doximity,BUY
06/02/22,ZS,Zscaler,BUY
05/19/22,ASML,ASML,BUY
05/05/22,TSLA,Tesla,BUY
04/07/22,TEAM,Atlassian,BUY
03/17/22,GRMN,Garmin,BUY
03/03/22,UPST,Upstart,BUY
02/17/22,VRTX,Vertex Pharmaceuti…,BUY
02/03/22,ABNB,Airbnb,BUY
01/20/22,SPOT,Spotify Technology,BUY
01/06/22,CFLT,Confluent,BUY
12/20/21,NVTA,Invitae,SELL
12/20/21,LOPE,Grand Canyon Edu…,SELL
12/20/21,HQY,HealthEquity,SELL
12/20/21,MKL,Markel Group,SELL
12/20/21,OLLI,Ollie's Bargain Outlet,SELL
12/16/21,ROKU,Roku,BUY
12/02/21,DOCN,DigitalOcean,BUY
12/02/21,DOCN,DigitalOcean,BUY
11/18/21,U,Unity So!ware,BUY
11/04/21,PATH,UiPath,BUY
10/21/21,DOCU,Docusign,BUY
10/07/21,SHOP,Shopify,BUY
09/16/21,ASAN,Asana,BUY
09/10/21,HRC,Hill-Rom,SELL
09/03/21,STMP,Stamps.com,SELL
09/02/21,SNOW,Snowflake,BUY
